"participant","learner","exc.same","exc.diff","in.same","in.diff","congr.same","congr.diff","incongr.same","incongr.diff","neutral","preCS"
"iPIT401","specific",23.6428571428571,1.71428571428571,2.14285714285714,21.1428571428571,2.21428571428571,20.6428571428571,13.2857142857143,9,13,13.1904761904762
"iPIT403","specific",12.2857142857143,6.85714285714286,9.78571428571428,10.3571428571429,11.2142857142857,8.57142857142857,8.78571428571429,10.2857142857143,11.1428571428571,10.2698412698413
"iPIT404","general",6.21428571428571,6.71428571428571,6,4.28571428571429,3.78571428571429,8.35714285714286,5.64285714285714,4.07142857142857,4.14285714285714,7.97619047619048
"iPIT405","specific",13.8571428571429,2.35714285714286,1.07142857142857,12.3571428571429,0.714285714285714,13.4285714285714,11.5714285714286,1.07142857142857,8.42857142857143,8.15079365079365
"iPIT406","general",4.71428571428571,6,7,3.78571428571429,4.42857142857143,5.85714285714286,4.35714285714286,6.71428571428571,5.57142857142857,5.72222222222222
"iPIT407","specific",12.7857142857143,8.71428571428572,10.1428571428571,11.7857142857143,12.5,8.07142857142857,8.71428571428572,13.0714285714286,11.7857142857143,11.8730158730159
"iPIT408","specific",12.4285714285714,1.64285714285714,1.07142857142857,10.8571428571429,1.5,12.2142857142857,9.78571428571428,1.64285714285714,7.5,7.36507936507936
"iPIT409","general",9.78571428571428,6.85714285714286,6.5,8,11.5,5.28571428571429,7,7.78571428571429,8.85714285714286,9.25396825396825
"iPIT410","specific",13.9285714285714,2.21428571428571,1,15.9285714285714,1.42857142857143,15.5714285714286,13.7142857142857,0.785714285714286,6.78571428571429,7.12698412698413
"iPIT411","general",15.8571428571429,0.785714285714286,2.35714285714286,0.214285714285714,2.42857142857143,0.285714285714286,8.92857142857143,2.57142857142857,1.07142857142857,3.96031746031746
"iPIT412","specific",18.2142857142857,0,0,6.5,0.214285714285714,6.21428571428571,12.8571428571429,0.0714285714285714,3.71428571428571,0.626984126984127
"iPIT413","specific",14,0,0,0,0,0,11.9285714285714,0,0,0
"iPIT414","specific",5.64285714285714,5.64285714285714,5.42857142857143,6.42857142857143,3.5,5.92857142857143,3.64285714285714,5.14285714285714,4.71428571428571,8.42857142857143
"iPIT415","general",12.5714285714286,0.785714285714286,0.5,0.714285714285714,0.714285714285714,0.714285714285714,0.428571428571429,0.857142857142857,0.928571428571429,7.23809523809524
"iPIT416","specific",20.2142857142857,0,0,0,0.0714285714285714,0.142857142857143,14.8571428571429,0,0,0.301587301587302
"iPIT417","specific",12,1.14285714285714,0.428571428571429,9.78571428571429,0.714285714285714,8.78571428571428,5.57142857142857,3.85714285714286,1.28571428571429,5.05555555555556
"iPIT418","specific",2.78571428571429,5.14285714285714,3.35714285714286,6.78571428571429,4.5,5.42857142857143,5.35714285714286,2.85714285714286,7.71428571428571,8.43650793650794
"iPIT419","specific",4.35714285714286,11.1428571428571,7,8.35714285714286,5.42857142857143,11.1428571428571,7.64285714285714,6,8.35714285714286,9.14285714285714
"iPIT420","general",0.785714285714286,0.428571428571429,0.857142857142857,0.571428571428571,0.857142857142857,0.5,0.571428571428571,0.5,0.857142857142857,8.43650793650794
"iPIT421","general",9.28571428571428,1.78571428571429,4.28571428571429,4.92857142857143,1.5,1,5.78571428571429,4,4.78571428571429,0
"iPIT422","general",9.21428571428571,0.857142857142857,0.642857142857143,0.857142857142857,0.5,9.57142857142857,0.714285714285714,10,5.57142857142857,5.43650793650794
"iPIT423","general",13.2857142857143,1.71428571428571,7.71428571428571,7.92857142857143,8.5,6.21428571428571,9.92857142857143,4.57142857142857,8.07142857142857,7.6031746031746
"iPIT424","general",11.2142857142857,8.85714285714286,7.42857142857143,11.7142857142857,9.92857142857143,7.92857142857143,9.71428571428572,10.2857142857143,9,10.6587301587302
"iPIT425","specific",12.5,1.14285714285714,10.7142857142857,1.5,12.2857142857143,0.785714285714286,12.5,0.857142857142857,4.71428571428571,7.07142857142857
"iPIT426","specific",12.8571428571429,3.28571428571429,3.07142857142857,12.4285714285714,2.28571428571429,13.2142857142857,3.57142857142857,10.6428571428571,7.92857142857143,8.20634920634921
"iPIT427","general",12.5714285714286,0.5,0.214285714285714,1.21428571428571,14.7142857142857,1.71428571428571,2.64285714285714,1.42857142857143,1.78571428571429,4.75396825396825
"iPIT429","specific",18.8571428571429,0,0,13.8571428571429,0.5,12.2857142857143,11.5,0,4.57142857142857,0
